iter	Passed	Remaining
0	55	55529
1	55	27846
2	56	18611
3	56	13995
4	56	11225
5	56	9379
6	56	8067
7	57	7078
8	57	6309
9	57	5693
10	57	5188
11	57	4768
12	58	4412
13	58	4106
14	58	3841
15	58	3609
16	58	3405
17	59	3224
18	59	3062
19	59	2916
20	59	2784
21	59	2664
22	60	2556
23	60	2455
24	60	2362
25	60	2276
26	60	2197
27	61	2123
28	61	2054
29	61	1990
30	61	1930
31	61	1874
32	62	1821
33	62	1771
34	62	1724
35	62	1680
36	62	1639
37	63	1599
38	63	1561
39	63	1525
40	63	1491
41	63	1458
42	64	1427
43	64	1397
44	64	1370
45	64	1343
46	64	1317
47	65	1292
48	65	1268
49	65	1245
50	65	1223
51	65	1201
52	66	1181
53	66	1161
54	66	1143
55	66	1124
56	66	1107
57	67	1090
58	67	1074
59	67	1058
60	67	1043
61	67	1028
62	68	1013
63	68	999
64	68	985
65	68	972
66	68	960
67	69	945
68	69	933
69	69	922
70	69	911
71	69	900
72	70	889
73	70	878
74	70	868
75	70	858
76	70	849
77	71	839
78	71	830
79	71	821
80	71	812
81	71	803
82	71	795
83	72	787
84	72	778
85	72	770
86	72	761
87	72	754
88	72	747
89	73	739
90	73	733
91	73	726
92	73	719
93	74	713
94	74	707
95	74	700
96	74	695
97	74	689
98	75	683
99	75	677
100	75	671
101	75	664
102	75	659
103	75	654
104	76	648
105	76	643
106	76	638
107	76	633
108	76	628
109	77	623
110	77	618
111	77	613
112	77	609
113	77	605
114	78	600
115	78	595
116	78	591
117	78	587
118	78	582
119	78	578
120	79	574
121	79	571
122	79	566
123	79	562
124	79	558
125	80	555
126	80	552
127	80	548
128	80	545
129	80	541
130	81	538
131	81	536
132	81	532
133	81	529
134	82	525
135	82	522
136	82	519
137	82	516
138	82	512
139	83	509
140	83	506
141	83	503
142	83	500
143	83	497
144	83	495
145	84	492
146	84	489
147	84	486
148	84	483
149	84	481
150	85	478
151	85	475
152	85	473
153	85	470
154	85	467
155	85	465
156	86	462
157	86	460
158	86	457
159	86	455
160	86	453
161	87	450
162	87	448
163	87	446
164	87	443
165	87	441
166	88	439
167	88	437
168	88	435
169	88	432
170	88	430
171	89	428
172	89	426
173	89	424
174	89	422
175	89	420
176	90	418
177	90	416
178	90	414
179	90	412
180	90	410
181	90	408
182	91	406
183	91	405
184	91	403
185	91	401
186	91	399
187	92	398
188	92	396
189	92	394
190	92	392
191	92	391
192	93	389
193	93	387
194	93	385
195	93	384
196	93	382
197	94	380
198	94	379
199	94	377
200	94	375
201	94	374
202	94	372
203	95	371
204	95	369
205	95	368
206	95	366
207	95	365
208	96	363
209	96	362
210	96	360
211	96	359
212	96	357
213	96	356
214	97	354
215	97	353
216	97	352
217	97	350
218	97	349
219	98	347
220	98	346
221	98	345
222	98	343
223	98	342
224	99	341
225	99	339
226	99	338
227	99	337
228	99	336
229	100	334
230	100	333
231	100	332
232	100	331
233	100	329
234	101	328
235	101	327
236	101	326
237	101	325
238	101	324
239	101	322
240	102	321
241	102	320
242	102	319
243	102	318
244	102	317
245	103	315
246	103	314
247	103	313
248	103	312
249	103	311
250	104	310
251	104	309
252	104	308
253	104	307
254	104	306
255	105	305
256	105	304
257	105	303
258	105	302
259	105	301
260	105	300
261	106	299
262	106	297
263	106	296
264	106	295
265	106	294
266	107	293
267	107	292
268	107	291
269	107	290
270	107	289
271	107	289
272	108	288
273	108	287
