iter	Passed	Remaining
0	1	1345
1	1	918
2	2	769
3	2	669
4	3	597
5	3	540
6	3	501
7	3	473
8	4	452
9	4	434
10	4	422
11	5	419
12	5	418
13	5	420
14	6	409
15	6	399
16	6	399
17	7	396
18	7	394
19	8	393
20	8	393
21	8	392
22	9	392
23	9	392
24	10	391
25	10	389
26	10	387
27	11	383
28	11	384
29	11	383
30	12	379
31	12	374
32	12	373
33	13	370
34	13	369
35	13	366
36	13	362
37	14	362
38	14	363
39	15	363
40	15	364
41	15	363
42	16	360
43	16	359
44	16	356
45	17	356
46	17	356
47	17	354
48	18	352
49	18	350
50	18	349
51	19	347
52	19	345
53	19	343
54	19	341
55	20	340
56	20	338
57	20	336
58	21	337
59	21	337
60	21	337
61	22	336
62	22	335
63	22	334
64	23	333
65	23	333
66	23	331
67	24	330
68	24	330
69	24	329
70	25	327
71	25	327
72	25	326
73	25	324
74	26	324
75	26	322
76	26	322
77	27	322
78	27	322
79	28	322
80	28	321
81	28	322
82	28	320
83	29	319
84	29	318
85	29	317
86	30	317
87	30	317
88	30	317
89	31	317
90	31	316
91	32	316
92	32	317
93	32	317
94	33	317
95	33	317
96	34	317
97	34	316
98	34	315
99	34	314
100	35	312
101	35	312
102	35	312
103	36	312
104	36	311
105	36	311
106	37	311
107	37	311
108	38	311
109	38	311
110	38	311
111	39	310
112	39	310
113	39	310
114	40	310
115	40	310
116	40	308
117	41	307
118	41	306
119	41	305
120	42	305
121	42	305
122	42	305
123	43	305
124	43	305
125	43	304
126	44	303
127	44	303
128	44	303
129	45	303
130	45	302
131	45	301
132	46	300
133	46	300
134	46	299
135	47	299
136	47	299
137	47	298
138	48	299
139	48	298
140	49	298
141	49	297
142	49	297
143	49	296
144	50	296
145	50	296
146	50	295
147	51	294
148	51	293
149	51	293
150	52	292
151	52	292
152	52	292
153	53	291
154	53	290
155	53	290
156	54	290
157	54	290
158	54	290
159	55	290
160	55	289
161	55	288
162	56	288
163	56	288
164	56	288
165	57	287
166	57	287
167	58	287
168	58	287
169	58	286
170	58	285
171	59	285
172	59	284
173	59	284
174	60	284
175	60	283
176	60	283
177	61	282
178	61	282
179	62	282
180	62	282
181	62	282
182	63	282
183	63	281
184	63	281
185	64	281
186	64	281
187	64	280
188	65	280
189	65	279
190	65	279
191	66	278
192	66	278
193	67	278
194	67	278
195	67	278
196	68	277
197	68	277
198	68	277
199	69	277
200	69	277
201	70	276
202	70	276
203	70	276
204	71	276
205	71	276
206	71	275
207	72	275
208	72	275
209	73	275
210	73	274
211	73	273
212	74	273
213	74	272
214	74	272
215	74	271
216	75	271
217	75	270
218	75	270
219	76	270
220	76	270
221	77	270
222	77	269
223	77	269
224	78	268
225	78	268
226	78	267
227	79	267
228	79	267
229	79	267
230	80	267
231	80	266
232	81	266
233	81	266
234	81	266
235	82	266
236	82	265
237	82	265
238	83	264
239	83	264
240	83	264
241	84	263
242	84	263
243	85	263
244	85	263
245	85	262
246	86	262
247	86	262
248	86	262
249	87	261
250	87	261
251	87	260
252	88	260
253	88	260
254	89	260
255	89	260
256	89	260
257	90	259
258	90	259
259	90	258
260	91	258
261	91	258
262	92	258
263	92	258
264	92	257
265	93	256
266	93	256
267	93	256
268	94	255
269	94	255
270	94	254
271	95	254
272	95	254
273	95	253
274	96	253
275	97	254
276	97	253
277	97	253
278	98	253
279	98	252
280	98	252
281	99	252
282	99	252
283	99	251
284	100	251
285	100	251
286	100	250
287	101	250
288	101	249
289	101	249
290	102	249
291	102	248
292	102	248
293	103	248
294	103	247
295	104	247
296	104	247
297	104	247
298	105	246
299	105	246
300	106	246
301	106	246
302	106	245
303	107	245
304	107	245
305	107	244
306	108	244
307	108	244
308	109	243
309	109	243
310	109	243
